split,class,image_id,label,lesion_hue_deg,lesion_sat,lesion_val,lesion_frac_of_image,leaf_frac_of_image,lesion_frac_of_leaf,mask_frac_on_margin,mask_frac_on_paper,n_components,median_component_px,n_arms,n_arms_wrong,n_pair_confused,C1_pred,C2_pred,C4_pred,R0_pred,R1_pred,R2_pred,R3_pred,TLA_pred,p_colour_global_mean,p_colour_lesion_colour,p_colour_lesion_all
train,Brown Blight,Brown Blight/brown_blight_00091.jpg,0,39.72,0.39,0.464,0.04588,0.99524,0.04596,0.162,0.003,27,21.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00092.jpg,0,39.7,0.3931,0.4594,0.04572,0.99336,0.0459,0.1752,0.0026,28,13.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00093.jpg,0,38.81,0.4795,0.3041,0.04787,0.43248,0.11055,0.097,0.0012,42,12.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00094.jpg,0,33.04,0.4368,0.2875,0.05931,0.43208,0.13699,0.168,0.002,73,9.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00095.jpg,0,32.89,0.4344,0.2888,0.05857,0.432,0.1354,0.1654,0.0014,72,9.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00099.jpg,0,37.74,0.5021,0.2991,0.04096,0.35938,0.11385,0.1873,0.001,48,12.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00100.jpg,0,41.58,0.518,0.4094,0.1076,0.34825,0.3084,0.1558,0.0019,62,16.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00101.jpg,0,36.66,0.3561,0.4294,0.10896,0.38851,0.28045,0.0935,0.0,59,10.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00102.jpg,0,36.32,0.3524,0.4331,0.10836,0.38704,0.27997,0.0931,0.0,57,11.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00103.jpg,0,40.1,0.5009,0.4243,0.09983,0.30042,0.33183,0.0731,0.0014,46,26.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00106.jpg,0,38.36,0.4119,0.3176,0.04757,0.48067,0.09881,0.1056,0.0017,96,12.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00107.jpg,0,38.28,0.3942,0.2988,0.04078,0.44557,0.09143,0.1193,0.001,100,10.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00109.jpg,0,40.56,0.4519,0.3046,0.02597,0.36029,0.07158,0.132,0.0069,31,15.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00111.jpg,0,38.21,0.5258,0.2752,0.00965,0.32199,0.02971,0.2045,0.0083,19,16.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00113.jpg,0,33.72,0.5852,0.2516,0.02635,0.38369,0.0683,0.236,0.0053,35,10.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00116.jpg,0,37.69,0.5258,0.3065,0.03217,0.51915,0.06181,0.1493,0.0025,46,18.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00117.jpg,0,36.92,0.5233,0.3675,0.17718,0.47399,0.37165,0.0645,0.0057,45,23.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00118.jpg,0,38.11,0.5178,0.3693,0.17162,0.46995,0.36408,0.0603,0.003,42,32.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00120.jpg,0,40.46,0.442,0.3081,0.04309,0.31025,0.13882,0.1647,0.0005,54,10.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00121.jpg,0,36.73,0.5013,0.3213,0.0127,0.23697,0.05324,0.4035,0.0063,16,9.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00122.jpg,0,37.61,0.5004,0.3223,0.01305,0.23719,0.05495,0.3985,0.0015,13,14.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00124.jpg,0,38.31,0.5813,0.2761,0.057,0.38632,0.14744,0.1413,0.0007,80,14.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00125.jpg,0,38.33,0.5766,0.276,0.05461,0.36691,0.14878,0.1482,0.0004,74,14.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00126.jpg,0,39.79,0.5571,0.2974,0.0354,0.36179,0.09767,0.2404,0.0017,30,13.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00128.jpg,0,39.27,0.547,0.3053,0.03089,0.22852,0.13501,0.1226,0.0013,63,11.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00129.jpg,0,36.14,0.527,0.3972,0.1408,0.32856,0.42848,0.0849,0.0001,37,22.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00130.jpg,0,34.66,0.6059,0.3419,0.11832,0.329,0.35958,0.0857,0.0002,44,8.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00131.jpg,0,36.49,0.563,0.368,0.0912,0.29444,0.30973,0.0907,0.0,33,15.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00132.jpg,0,37.71,0.5541,0.4008,0.07848,0.20841,0.37305,0.1519,0.0094,32,33.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00133.jpg,0,36.15,0.5345,0.2717,0.01923,0.23489,0.08188,0.1326,0.0,32,20.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00134.jpg,0,35.6,0.5042,0.277,0.02318,0.26497,0.0874,0.1711,0.0009,39,16.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00138.jpg,0,21.93,0.6097,0.2314,0.12964,0.26391,0.49094,0.1194,0.0006,20,9.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00140.jpg,0,29.29,0.5222,0.2327,0.03836,0.29098,0.13062,0.1735,0.0094,18,9.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00141.jpg,0,28.4,0.4547,0.2441,0.03709,0.31593,0.11588,0.2837,0.0129,27,8.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00142.jpg,0,33.9,0.4,0.2844,0.04094,0.24605,0.1654,0.1319,0.0058,17,29.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00144.jpg,0,34.73,0.6642,0.2392,0.03709,0.27266,0.13595,0.1693,0.0005,27,30.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00145.jpg,0,36.67,0.627,0.2598,0.03635,0.1935,0.17891,0.1261,0.0477,30,20.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00149.jpg,0,30.28,0.5479,0.2597,0.06043,0.20143,0.2994,0.0745,0.002,16,19.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00150.jpg,0,30.3,0.5603,0.2622,0.04648,0.14431,0.32205,0.1441,0.0,16,23.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00151.jpg,0,32.52,0.4921,0.3361,0.06248,0.19444,0.32103,0.1305,0.001,14,53.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00152.jpg,0,31.38,0.5365,0.2484,0.11892,0.34477,0.34464,0.0706,0.0008,31,15.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00154.jpg,0,30.39,0.498,0.2786,0.09122,0.33068,0.27507,0.1346,0.0028,23,16.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00158.jpg,0,33.31,0.4959,0.319,0.07115,0.19814,0.35607,0.1739,0.0084,25,13.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00159.jpg,0,32.13,0.5033,0.317,0.07376,0.26401,0.27803,0.1954,0.0049,35,12.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00160.jpg,0,36.07,0.4975,0.3511,0.05869,0.16253,0.3588,0.255,0.0065,17,14.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00161.jpg,0,41.33,0.6082,0.3623,0.02541,0.19003,0.13235,0.2675,0.0102,34,14.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00162.jpg,0,40.26,0.4627,0.2969,0.03452,0.21084,0.16296,0.1357,0.0046,32,14.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00164.jpg,0,37.75,0.5262,0.2995,0.03518,0.11131,0.31585,0.1875,0.0006,22,8.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00165.jpg,0,38.33,0.5318,0.3079,0.03306,0.1019,0.32408,0.1802,0.0012,19,17.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00166.jpg,0,29.19,0.506,0.2327,0.04604,0.10563,0.43491,0.1983,0.0022,31,9.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00167.jpg,0,35.76,0.5868,0.275,0.06238,0.11205,0.55603,0.155,0.0013,11,23.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00168.jpg,0,40.04,0.4362,0.375,0.03894,0.14234,0.27303,0.1182,0.002,11,20.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00169.jpg,0,34.13,0.5927,0.24,0.07621,0.14471,0.52445,0.1723,0.0042,19,16.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00170.jpg,0,40.37,0.4365,0.3747,0.03739,0.13983,0.26682,0.1162,0.0021,11,25.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00174.jpg,0,38.27,0.6065,0.3194,0.08117,0.24263,0.33374,0.1596,0.0025,22,14.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00175.jpg,0,37.08,0.5836,0.3134,0.12085,0.37711,0.31984,0.1412,0.002,35,18.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00176.jpg,0,36.92,0.5597,0.3509,0.12518,0.29397,0.42502,0.1274,0.0019,76,8.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00177.jpg,0,36.75,0.5353,0.3474,0.13329,0.3306,0.40264,0.1201,0.0013,81,9.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00179.jpg,0,32.01,0.496,0.3519,0.0337,0.17341,0.19389,0.162,0.0024,23,10.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00180.jpg,0,38.45,0.4625,0.4252,0.01999,0.12632,0.15667,0.2353,0.01,21,7.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00181.jpg,0,37.47,0.4731,0.4246,0.02505,0.15778,0.15726,0.2148,0.0095,25,9.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00182.jpg,0,32.87,0.4661,0.2554,0.04129,0.32326,0.1275,0.1438,0.0019,21,7.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00183.jpg,0,32.99,0.4073,0.2932,0.06081,0.40737,0.14907,0.1226,0.0013,25,9.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00186.jpg,0,32.91,0.5183,0.2781,0.08962,0.2793,0.32039,0.0698,0.0016,31,21.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00188.jpg,0,37.42,0.4927,0.3568,0.05768,0.34122,0.16892,0.1572,0.0007,20,12.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00189.jpg,0,38.44,0.539,0.3749,0.06866,0.43373,0.15811,0.1739,0.0012,66,10.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00191.jpg,0,37.42,0.6206,0.3158,0.08488,0.3176,0.26688,0.1857,0.0014,66,13.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00192.jpg,0,41.14,0.6263,0.3458,0.07894,0.34279,0.22971,0.175,0.0025,62,9.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00193.jpg,0,29.81,0.54,0.2543,0.11141,0.29078,0.38286,0.051,0.0007,31,15.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00195.jpg,0,36.4,0.5385,0.4066,0.06806,0.21512,0.31638,0.1362,0.0,19,13.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00197.jpg,0,24.6,0.4388,0.2401,0.08508,0.27756,0.30624,0.0248,0.0009,19,8.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00198.jpg,0,36.78,0.4986,0.4116,0.07611,0.22553,0.33696,0.1351,0.0016,23,9.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00199.jpg,0,30.9,0.5841,0.3521,0.1487,0.20301,0.7314,0.1209,0.0015,11,12.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00201.jpg,0,34.28,0.5499,0.4495,0.14507,0.20396,0.71087,0.1154,0.0005,8,9.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00202.jpg,0,34.23,0.5501,0.4467,0.1429,0.20267,0.70489,0.1127,0.0003,7,10.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00207.jpg,0,40.05,0.4862,0.2693,0.02828,0.27491,0.10062,0.1494,0.0218,47,10.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00208.jpg,0,42.57,0.578,0.269,0.01814,0.22547,0.07823,0.2714,0.0275,41,11.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00209.jpg,0,40.67,0.5498,0.2526,0.01847,0.22477,0.07688,0.1909,0.0647,35,11.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00210.jpg,0,42.52,0.4198,0.3944,0.01192,0.14355,0.08205,0.393,0.0117,17,8.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00213.jpg,0,41.12,0.5302,0.4181,0.03143,0.1429,0.21939,0.1294,0.0025,46,13.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00214.jpg,0,40.19,0.5418,0.2882,0.01965,0.24412,0.07919,0.2302,0.0162,24,22.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00215.jpg,0,40.39,0.4538,0.321,0.07169,0.26832,0.26629,0.0414,0.0033,41,20.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00217.jpg,0,35.71,0.4925,0.2509,0.02491,0.25664,0.09599,0.208,0.0112,39,10.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00218.jpg,0,34.06,0.5466,0.2194,0.02974,0.31087,0.09514,0.246,0.0054,51,12.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00219.jpg,0,34.33,0.5478,0.2229,0.02856,0.26782,0.1056,0.298,0.0098,58,9.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00220.jpg,0,33.72,0.5353,0.2241,0.03099,0.29695,0.10349,0.2637,0.0084,51,8.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00223.jpg,0,34.98,0.3882,0.3029,0.04612,0.17275,0.25531,0.1223,0.0436,16,36.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00224.jpg,0,35.18,0.5364,0.2583,0.0292,0.16867,0.17287,0.2109,0.0014,19,18.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00225.jpg,0,32.48,0.5196,0.211,0.04345,0.20731,0.20909,0.1615,0.0023,30,11.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00226.jpg,0,33.31,0.4554,0.3224,0.07001,0.20667,0.31495,0.1352,0.0703,29,10.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00228.jpg,0,29.43,0.5782,0.2702,0.07171,0.19368,0.36149,0.132,0.0236,26,19.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00229.jpg,0,28.83,0.5582,0.2646,0.06386,0.17445,0.35919,0.1286,0.0187,20,13.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00230.jpg,0,26.76,0.5359,0.3086,0.06453,0.19964,0.32295,0.0377,0.0009,7,7.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00231.jpg,0,24.96,0.5087,0.2994,0.06326,0.20089,0.31429,0.074,0.0019,8,9.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00232.jpg,0,31.98,0.5766,0.3676,0.06356,0.19976,0.31757,0.0593,0.0019,8,6.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00233.jpg,0,31.01,0.5825,0.3568,0.06348,0.20057,0.31598,0.0496,0.0016,5,7.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00234.jpg,0,40.9,0.4675,0.2895,0.02577,0.16496,0.15525,0.2962,0.0062,20,21.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00235.jpg,0,37.71,0.5652,0.2494,0.0159,0.13283,0.11898,0.0627,0.0063,12,7.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00236.jpg,0,41.2,0.5219,0.2243,0.0101,0.14945,0.06708,0.1519,0.0079,23,8.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00237.jpg,0,42.05,0.5276,0.2014,0.00853,0.13277,0.06394,0.1799,0.0047,25,7.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00239.jpg,0,39.28,0.3953,0.35,0.01712,0.27091,0.05988,0.2014,0.0524,23,12.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00240.jpg,0,35.23,0.4701,0.2766,0.01682,0.2832,0.05658,0.2844,0.0474,24,13.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00241.jpg,0,36.94,0.4036,0.274,0.03063,0.29042,0.10225,0.1679,0.0306,27,11.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00242.jpg,0,39.67,0.5479,0.2709,0.04112,0.31158,0.13151,0.1222,0.0034,57,10.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00244.jpg,0,39.27,0.5608,0.2404,0.03876,0.30335,0.12555,0.1794,0.0175,47,9.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00245.jpg,0,35.54,0.5273,0.2811,0.02954,0.28844,0.10226,0.0857,0.0013,36,13.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00246.jpg,0,33.74,0.5739,0.2383,0.02531,0.20946,0.12055,0.2378,0.0024,31,12.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00247.jpg,0,34.18,0.5322,0.2567,0.0229,0.24155,0.09455,0.2115,0.0026,38,10.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00248.jpg,0,34.82,0.5238,0.253,0.04703,0.15165,0.30937,0.1691,0.0025,17,16.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00249.jpg,0,36.92,0.5634,0.3381,0.02427,0.10631,0.22422,0.28,0.0181,16,18.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00250.jpg,0,35.75,0.5707,0.3348,0.02537,0.10063,0.24856,0.3056,0.0141,17,11.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00251.jpg,0,38.97,0.5356,0.2941,0.0184,0.09993,0.18329,0.4995,0.0043,17,29.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00252.jpg,0,37.77,0.5405,0.2809,0.02704,0.13556,0.19891,0.3972,0.0029,16,27.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00257.jpg,0,40.3,0.4993,0.3121,0.03886,0.20958,0.18505,0.2338,0.0021,19,46.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00260.jpg,0,34.16,0.6122,0.2007,0.01309,0.13373,0.09672,0.1507,0.0122,17,27.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00261.jpg,0,41.64,0.6337,0.2692,0.01303,0.11613,0.11086,0.3119,0.0122,25,10.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00262.jpg,0,42.06,0.5426,0.2905,0.01301,0.10567,0.12184,0.3277,0.0107,22,16.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00263.jpg,0,40.92,0.4081,0.2662,0.01395,0.30762,0.04412,0.1943,0.0271,20,10.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00264.jpg,0,39.59,0.4502,0.2593,0.01048,0.22114,0.04632,0.3897,0.0228,16,13.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00265.jpg,0,41.02,0.4364,0.2503,0.01038,0.27477,0.03779,0.2956,0.0,20,9.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00267.jpg,0,38.88,0.4137,0.3041,0.04028,0.28117,0.14318,0.1341,0.0005,35,23.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00268.jpg,0,34.63,0.4588,0.3371,0.02866,0.12231,0.21427,0.3401,0.0855,25,15.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00270.jpg,0,35.79,0.4561,0.3641,0.01272,0.11521,0.10638,0.6191,0.0361,13,27.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00271.jpg,0,35.86,0.4507,0.3641,0.01148,0.10656,0.10324,0.6285,0.0417,14,23.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00272.jpg,0,35.65,0.5126,0.3111,0.05965,0.15073,0.39416,0.2302,0.004,21,8.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00273.jpg,0,35.56,0.5057,0.3093,0.06547,0.16016,0.40791,0.2049,0.0021,23,13.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00274.jpg,0,38.26,0.572,0.2877,0.03366,0.10164,0.3298,0.2765,0.0041,15,23.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00275.jpg,0,38.13,0.5949,0.2749,0.0406,0.11651,0.34707,0.2499,0.0039,20,14.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00276.jpg,0,41.07,0.4962,0.2855,0.017,0.32115,0.04859,0.1184,0.0821,36,10.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00277.jpg,0,40.38,0.5151,0.2756,0.01754,0.26317,0.06369,0.1432,0.0443,43,7.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00280.jpg,0,41.25,0.4384,0.318,0.0174,0.26851,0.06294,0.1707,0.0286,31,11.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00281.jpg,0,35.34,0.5813,0.2818,0.0224,0.06585,0.33929,0.2482,0.0027,9,29.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00282.jpg,0,34.71,0.5625,0.2782,0.02356,0.06918,0.33881,0.2301,0.0051,10,37.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00283.jpg,0,29.46,0.4976,0.296,0.01792,0.05708,0.31355,0.2636,0.0011,9,13.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00284.jpg,0,37.95,0.4691,0.2934,0.01333,0.15248,0.08666,0.2422,0.009,16,15.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00285.jpg,0,38.1,0.4677,0.2959,0.0127,0.14822,0.08511,0.2684,0.0063,13,20.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00286.jpg,0,36.71,0.4157,0.4048,0.01132,0.14965,0.07551,0.1303,0.0018,17,7.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00287.jpg,0,40.64,0.3554,0.3906,0.01714,0.15525,0.11027,0.0721,0.0012,12,5.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00288.jpg,0,36.5,0.4529,0.3158,0.0164,0.18959,0.08599,0.2224,0.0061,9,17.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00289.jpg,0,36.54,0.4571,0.3109,0.0164,0.18862,0.08675,0.2211,0.0024,11,10.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00290.jpg,0,27.68,0.4904,0.3075,0.06272,0.2167,0.2886,0.1296,0.0029,24,14.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00291.jpg,0,26.7,0.5199,0.2638,0.07922,0.24488,0.3227,0.1064,0.0025,24,9.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00292.jpg,0,37.88,0.5411,0.308,0.01566,0.19976,0.07762,0.2875,0.0102,19,9.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00294.jpg,0,40.85,0.4911,0.3687,0.01531,0.22694,0.06718,0.2122,0.0039,11,35.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00295.jpg,0,35.0,0.4954,0.2509,0.01772,0.21417,0.08143,0.2666,0.0157,21,15.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00296.jpg,0,43.19,0.3902,0.4223,0.03286,0.33022,0.0982,0.2547,0.0133,32,25.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00297.jpg,0,40.53,0.5083,0.3813,0.02886,0.41289,0.06932,0.105,0.0083,27,8.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00298.jpg,0,41.17,0.4743,0.3778,0.03205,0.47987,0.0667,0.0951,0.0012,23,13.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00299.jpg,0,39.24,0.5395,0.3803,0.02394,0.3413,0.06891,0.1307,0.0175,15,41.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00300.jpg,0,38.86,0.5769,0.368,0.02218,0.38088,0.05824,0.1132,0.0,14,28.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00301.jpg,0,36.2,0.5,0.2739,0.00757,0.08799,0.07928,0.3842,0.0789,26,6.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00302.jpg,0,39.78,0.5354,0.2973,0.00797,0.08351,0.08998,0.3725,0.0575,17,7.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00303.jpg,0,39.18,0.4538,0.3128,0.0113,0.08807,0.12469,0.4233,0.0282,17,13.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/brown_blight_00305.jpg,0,41.33,0.3531,0.3938,0.03304,0.28982,0.11401,0.1628,0.0,33,8.0,,,,,,,,,,,,,,
